relative_altitude_ft,vertical_rate_ft_s,tau_sec,previous_advisory,optimal_advisory
-1000,-83.3333333333333,0,0,COC
-1000,-83.3333333333333,0,1,COC
-1000,-83.3333333333333,0,2,COC
-1000,-83.3333333333333,1,0,COC
-1000,-83.3333333333333,1,1,COC
-1000,-83.3333333333333,1,2,COC
-1000,-83.3333333333333,2,0,COC
-1000,-83.3333333333333,2,1,COC
-1000,-83.3333333333333,2,2,COC
-1000,-83.3333333333333,3,0,COC
-1000,-83.3333333333333,3,1,COC
-1000,-83.3333333333333,3,2,COC
-1000,-83.3333333333333,4,0,COC
-1000,-83.3333333333333,4,1,COC
-1000,-83.3333333333333,4,2,COC
-1000,-83.3333333333333,5,0,COC
-1000,-83.3333333333333,5,1,COC
-1000,-83.3333333333333,5,2,COC
-1000,-83.3333333333333,6,0,COC
-1000,-83.3333333333333,6,1,COC
-1000,-83.3333333333333,6,2,COC
-1000,-83.3333333333333,7,0,COC
-1000,-83.3333333333333,7,1,COC
-1000,-83.3333333333333,7,2,COC
-1000,-83.3333333333333,8,0,COC
-1000,-83.3333333333333,8,1,COC
-1000,-83.3333333333333,8,2,COC
-1000,-83.3333333333333,9,0,COC
-1000,-83.3333333333333,9,1,COC
-1000,-83.3333333333333,9,2,COC
-1000,-83.3333333333333,10,0,COC
-1000,-83.3333333333333,10,1,COC
-1000,-83.3333333333333,10,2,COC
-1000,-83.3333333333333,11,0,COC
-1000,-83.3333333333333,11,1,COC
-1000,-83.3333333333333,11,2,COC
-1000,-83.3333333333333,12,0,COC
-1000,-83.3333333333333,12,1,COC
-1000,-83.3333333333333,12,2,COC
-1000,-83.3333333333333,13,0,COC
-1000,-83.3333333333333,13,1,COC
-1000,-83.3333333333333,13,2,COC
-1000,-83.3333333333333,14,0,COC
-1000,-83.3333333333333,14,1,COC
-1000,-83.3333333333333,14,2,COC
-1000,-83.3333333333333,15,0,COC
-1000,-83.3333333333333,15,1,COC
-1000,-83.3333333333333,15,2,COC
-1000,-83.3333333333333,16,0,COC
-1000,-83.3333333333333,16,1,COC
-1000,-83.3333333333333,16,2,COC
-1000,-83.3333333333333,17,0,COC
-1000,-83.3333333333333,17,1,COC
-1000,-83.3333333333333,17,2,COC
-1000,-83.3333333333333,18,0,COC
-1000,-83.3333333333333,18,1,COC
-1000,-83.3333333333333,18,2,COC
-1000,-83.3333333333333,19,0,COC
-1000,-83.3333333333333,19,1,COC
-1000,-83.3333333333333,19,2,COC
-1000,-83.3333333333333,20,0,COC
-1000,-83.3333333333333,20,1,COC
-1000,-83.3333333333333,20,2,COC
-1000,-83.3333333333333,21,0,COC
-1000,-83.3333333333333,21,1,COC
-1000,-83.3333333333333,21,2,COC
